#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
10	傳教AI LV1	1	1	0	60	95,7,6300	203,48,6709	97,46,6800	98,47,6800	96,7,6300	106,7,6100	202,48,6709	201,48,6709	0,2,2005	
11	傳教AI LV2	1	2	0	60	95,7,6301	203,48,6709	97,46,6801	98,47,6801	96,7,6301	106,7,6101	202,48,6709	201,48,6709	0,2,2005	
12	傳教AI LV3	1	3	0	60	95,7,6302	203,48,6709	97,46,6802	98,47,6802	96,7,6302	106,7,6102	202,48,6709	201,48,6709	0,2,2005	
13	傳教AI LV4	1	4	0	60	95,7,6303	203,48,6709	97,46,6803	98,47,6803	96,7,6303	106,7,6103	202,48,6709	201,48,6709	0,2,2005	
14	傳教AI LV5	1	5	0	60	95,7,6304	203,48,6709	97,46,6804	98,47,6804	96,7,6304	106,7,6104	202,48,6709	201,48,6709	0,2,2005	
15	傳教AI LV6	1	6	0	60	95,7,6305	203,48,6709	97,46,6805	98,47,6805	96,7,6305	106,7,6105	202,48,6709	201,48,6709	0,2,2005	
16	傳教AI LV7	1	7	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,2007	
17	傳教AI LV8	1	8	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,2007	
18	傳教AI LV9	1	9	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,2007	
19	傳教AI LV10	1	10	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,2007	
20	戰斧AI LV1	1	1	0	20	8,0,1260	0,2,300								
21	戰斧AI LV2	1	2	0	20	8,0,1260	103,2,301	0,2,2							
22	戰斧AI LV3	1	3	0	20	8,0,1260	103,2,302	0,2,3							
23	戰斧AI LV4	1	4	0	20	8,0,1260	103,2,303	0,2,3							
24	戰斧AI LV5	1	5	0	20	8,0,1260	103,2,304	0,2,3							
25	戰斧AI LV6	1	6	0	20	8,0,1260	103,2,305	0,2,3							
26	戰斧AI LV7	1	7	0	20	8,0,1260	103,2,306	0,2,3							
27	戰斧AI LV8	1	8	0	20	8,0,1260	103,2,307	0,2,3							
28	戰斧AI LV9	1	9	0	20	8,0,1260	103,2,308	0,2,3							
29	戰斧AI LV10	1	10	0	20	8,0,1260	103,2,309	0,2,3							
30	劍士AI LV1	1	1	0	10	8,0,1260	0,2,300								
31	劍士AI LV2	1	2	0	10	8,0,1260	103,2,301	0,2,3							
32	劍士AI LV3	1	3	0	10	8,0,1260	103,2,302	0,2,3							
33	劍士AI LV4	1	4	0	10	8,0,1260	103,2,303	0,2,3							
34	劍士AI LV5	1	5	0	10	8,0,1260	103,2,304	0,2,3							
35	劍士AI LV6	1	6	0	10	8,0,1260	103,2,305	0,2,3							
36	劍士AI LV7	1	7	0	10	8,0,1260	103,2,306	0,2,3							
37	劍士AI LV8	1	8	0	10	8,0,1260	103,2,307	0,2,3							
38	劍士AI LV9	1	9	0	10	8,0,1260	103,2,308	0,2,3							
39	劍士AI LV10	1	10	0	10	8,0,1260	103,2,309	0,2,3							
40	騎士AI LV1	1	1	0	30	8,0,1260	107,7,26100	105,7,700	0,2,300						
41	騎士AI LV2	1	2	0	30	8,0,1260	107,7,26101	105,7,701	103,2,301	0,2,3					
42	騎士AI LV3	1	3	0	30	8,0,1260	107,7,26102	105,7,702	103,2,302	0,2,3					
43	騎士AI LV4	1	4	0	30	8,0,1260	107,7,26103	105,7,703	103,2,303	0,2,3					
44	騎士AI LV5	1	5	0	30	8,0,1260	107,7,26104	105,7,704	103,2,304	0,2,3					
45	騎士AI LV6	1	6	0	30	8,0,1260	107,7,26105	105,7,705	103,2,305	0,2,3					
46	騎士AI LV7	1	7	0	30	8,0,1260	107,7,26106	105,7,706	103,2,306	0,2,3					
47	騎士AI LV8	1	8	0	30	8,0,1260	107,7,26107	105,7,707	103,2,307	0,2,3					
48	騎士AI LV9	1	9	0	30	8,0,1260	107,7,26108	105,7,708	103,2,308	0,2,3					
49	騎士AI LV10	1	10	0	30	8,0,1260	107,7,26109	105,7,709	103,2,309	0,2,3					
50	弓手AI LV1	1	1	0	40	8,0,1260	103,2,300	0,2,9500							
51	弓手AI LV2	1	2	0	40	8,0,1260	103,2,301	0,2,9501							
52	弓手AI LV3	1	3	0	40	8,0,1260	103,2,302	0,2,9502							
53	弓手AI LV4	1	4	0	40	8,0,1260	103,2,303	0,2,9503							
54	弓手AI LV5	1	5	0	40	8,0,1260	103,2,304	0,2,9504							
55	弓手AI LV6	1	6	0	40	8,0,1260	103,2,305	0,2,9505							
56	弓手AI LV7	1	7	0	40	8,0,1260	103,2,306	0,2,9506							
57	弓手AI LV8	1	8	0	40	8,0,1260	103,2,307	0,2,9506							
58	弓手AI LV9	1	9	0	40	8,0,1260	103,2,308	0,2,9506							
59	弓手AI LV10	1	10	0	40	8,0,1260	103,2,309	0,2,9506							
60	地屬性魔法LV1	1	1	0	70	8,4,3100	103,2,1900	0,2,2700							
61	地屬性魔法LV2	1	2	0	70	8,4,3101	103,2,1901	0,2,2701							
62	地屬性魔法LV3	1	3	0	70	8,4,3102	103,2,1902	0,2,2702							
63	地屬性魔法LV4	1	4	0	70	8,4,3103	103,2,1903	0,2,2703							
64	地屬性魔法LV5	1	5	0	70	8,4,3104	103,2,1904	0,2,2704							
65	地屬性魔法LV6	1	6	0	70	8,4,3105	103,2,1905	0,2,2705							
66	地屬性魔法LV7	1	7	0	70	8,4,3106	103,2,1906	0,2,2706							
67	地屬性魔法LV8	1	8	0	70	8,4,3106	103,2,1906	0,2,2706							
68	地屬性魔法LV9	1	9	0	70	8,4,3106	103,2,1906	0,2,2706							
69	地屬性魔法LV10	1	10	0	70	8,4,3106	103,2,1906	0,2,2706							
70	水屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2000	0,2,2800							
71	水屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2001	0,2,2801							
72	水屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2002	0,2,2802							
73	水屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2003	0,2,2803							
74	水屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2004	0,2,2804							
75	水屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2005	0,2,2805							
76	水屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2006	0,2,2806							
77	水屬性魔法LV8	1	8	0	70	8,4,3106	103,2,2006	0,2,2806							
78	水屬性魔法LV9	1	9	0	70	8,4,3106	103,2,2006	0,2,2806							
79	水屬性魔法LV10	1	10	0	70	8,4,3106	103,2,2006	0,2,2806							
80	火屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2100	0,2,2900							
81	火屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2101	0,2,2901							
82	火屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2102	0,2,2902							
83	火屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2103	0,2,2903							
84	火屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2104	0,2,2904							
85	火屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2105	0,2,2905							
86	火屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2106	0,2,2906							
87	火屬性魔法LV8	1	8	0	70	8,4,3106	103,2,2106	0,2,2906							
