遊民		1	1								2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
見習劍士		11	1	0	0						4	3	3	0	3	3	3	0	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
劍士		12	1	5000	10000						6	3	3	0	3	3	3	0	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宮劍士		13	1	10000	50000						8	3	3	0	3	3	3	0	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
劍術師範		14	1	20000	100000						10	3	3	0	3	3	3	0	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
劍術大師		15	1	40000	160000						11	4	4	0	4	4	4	0	11	4	11	4	0	11	4	10	10	10	10	10	10	10	10					
武士		16	1	1000000	10000000						11	3	3	0	3	3	3	0	11	3	11	3	0	11	3	10	10	10	10	10	10	10	10					
劍聖		17	1	1000000	10000000						11	3	3	0	3	3	3	0	11	3	11	3	0	11	3	10	10	10	10	10	10	10	10					
見習戰斧鬥士		21	1	0	0						3	4	3	0	3	3	3	0	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
戰斧鬥士		22	1	5000	10000						3	6	3	0	3	3	3	0	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宮戰斧鬥士		23	1	10000	50000						3	8	3	0	3	3	3	0	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
戰斧師範		24	1	20000	100000						3	10	3	0	3	3	3	0	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
戰斧大師		25	1	40000	160000						4	11	4	0	4	4	4	0	11	4	11	4	0	11	4	10	10	10	10	10	10	10	10					
狂戰士		26	1	1000000	10000000						3	11	3	0	3	3	3	0	11	3	11	3	0	11	3	10	10	10	10	10	10	10	10					
破壞王		27	1	1000000	10000000						3	11	3	0	3	3	3	0	11	3	11	3	0	11	3	10	10	10	10	10	10	10	10					
見習騎士		31	1	0	0						3	3	4	0	3	3	3	0	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
騎士		32	1	5000	10000						3	3	6	0	3	3	3	0	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宮騎士		33	1	10000	50000						3	3	8	0	3	3	3	0	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
近衛騎士		34	1	20000	100000						3	3	10	0	3	3	3	0	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
鐵血騎士		35	1	40000	160000						4	4	11	0	4	4	4	0	11	4	11	4	0	11	4	10	10	10	10	10	10	10	10					
黑騎士		36	1	20000	10000000						5	5	11	0	5	5	5	0	11	5	11	5	0	11	5	10	10	10	10	10	10	10	10					
聖騎士		37	1	20000	10000000						5	5	11	0	5	5	5	0	11	5	11	5	0	11	5	10	10	10	10	10	10	10	10					
見習弓箭手		41	1	0	0						3	3	3	0	4	3	3	0	3	4	3	4	0	3	4	4	4	4	4	4	4	4	4					
弓箭手		42	1	5000	10000						3	3	3	0	6	4	4	0	3	6	3	6	0	3	6	6	6	6	6	6	6	6	6					
王宮弓箭手		43	1	10000	50000						4	4	4	0	8	5	5	0	4	8	4	8	0	4	8	8	8	8	8	8	8	8	8					
弓術師範		44	1	20000	100000						4	4	4	0	10	6	6	0	4	10	4	10	0	4	10	10	10	10	10	10	10	10	10					
遊俠		45	1	40000	160000						4	4	4	0	11	7	7	0	4	11	4	11	0	4	11	10	10	10	10	10	10	10	10					
神射手		46	1	20000	10000000						5	5	5	0	11	7	7	0	5	11	5	11	0	5	11	10	10	10	10	10	10	10	10					
森林守護者		47	1	20000	10000000						5	5	5	0	11	7	7	0	5	11	5	11	0	5	11	10	10	10	10	10	10	10	10					
見習士兵		51	1	0	0						3	3	3	0	3	3	3	0	3	3	3	3	0	3	3	4	4	4	4	4	4	4	4					
士兵		52	1	5000	10000						4	4	4	0	4	4	4	0	4	4	4	4	0	4	4	6	6	6	6	6	6	6	6					
王宮士兵		53	1	10000	50000						5	5	5	0	5	5	5	0	5	5	5	5	0	5	5	8	8	8	8	8	8	8	8					
士兵長		54	1	20000	100000						6	6	6	0	6	6	6	0	6	6	6	6	0	6	6	10	10	10	10	10	10	10	10					
重戰士		55	1	40000	160000						7	7	7	0	7	7	7	0	7	7	7	7	0	7	7	10	10	10	10	10	10	10	10					
裝甲兵		56	1	20000	10000000						7	7	7	0	7	7	7	0	7	7	7	7	0	7	7	10	10	10	10	10	10	10	10					
蹂躪兵		57	1	20000	10000000						7	7	7	0	7	7	7	0	7	7	7	7	0	7	7	10	10	10	10	10	10	10	10					
見習傳教士		61	1	0	0						0	0	0	4	0	0	3	0	0	4	0	3	4	0	4	4	4	4	4	4	4	4	4					
傳教士		62	1	5000	10000	61	62	63	68		0	0	0	6	0	0	3	0	0	6	0	3	6	0	6	6	6	6	6	6	6	6	6	4	4	4	4	
牧師		63	1	10000	50000	61	62	63	68		0	0	0	8	0	0	4	0	0	8	0	4	8	0	8	8	8	8	8	8	8	8	8	6	6	6	6	
主教		64	1	20000	100000	61	62	63	68		0	0	0	10	0	0	4	0	0	10	0	4	10	0	10	10	10	10	10	10	10	10	10	8	8	8	8	
大主教		65	1	40000	160000	61	62	63	68		0	0	0	11	0	0	5	0	0	11	0	5	11	0	11	10	10	10	10	10	10	10	10	10	10	10	10	
李貝留斯的僕人		66	1	20000	10000000	61	62	63	68		0	0	0	11	0	0	5	0	0	11	0	5	11	0	11	10	10	10	10	10	10	10	10	10	10	10	10	
阿爾傑斯的使徒		67	1	20000	10000000	61	62	63	68		0	0	0	11	0	0	5	0	0	11	0	5	11	0	11	10	10	10	10	10	10	10	10	10	10	10	10	
見習魔術師		71	1	0	0						0	0	0	4	0	3	0	0	0	4	0	3	4	0	4	4	4	4	4	4	4	4	4					
魔術師		72	1	5000	10000						0	0	0	6	0	3	0	0	0	6	0	3	6	0	6	6	6	6	6	6	6	6	6	4	4	4	4	
王宮魔法師		73	1	10000	50000						0	0	0	8	0	4	0	0	0	8	0	4	8	0	8	8	8	8	8	8	8	8	8	6	6	6	6	
