#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
10	傳教AI LV1	1	1	0	60	95,7,6300	203,48,6709	97,46,6800	98,47,6800	96,7,6300	106,7,6100	202,48,6709	201,48,6709	0,2,26711	
11	傳教AI LV2	1	2	0	60	95,7,6301	203,48,6709	97,46,6801	98,47,6801	96,7,6301	106,7,6101	202,48,6709	201,48,6709	0,2,26712	
12	傳教AI LV3	1	3	0	60	95,7,6302	203,48,6709	97,46,6802	98,47,6802	96,7,6302	106,7,6102	202,48,6709	201,48,6709	0,2,26713	
13	傳教AI LV4	1	4	0	60	95,7,6303	203,48,6709	97,46,6803	98,47,6803	96,7,6303	106,7,6103	202,48,6709	201,48,6709	0,2,26714	
14	傳教AI LV5	1	5	0	60	95,7,6304	203,48,6709	97,46,6804	98,47,6804	96,7,6304	106,7,6104	202,48,6709	201,48,6709	0,2,26715	
15	傳教AI LV6	1	6	0	60	95,7,6305	203,48,6709	97,46,6805	98,47,6805	96,7,6305	106,7,6105	202,48,6709	201,48,6709	0,2,26716	
16	傳教AI LV7	1	7	0	60	95,7,6306	203,48,6709	97,46,6806	98,47,6806	96,7,6306	106,7,6106	202,48,6709	201,48,6709	0,2,26717	
17	傳教AI LV8	1	8	0	60	95,7,6307	203,48,6709	97,46,6807	98,47,6807	96,7,6307	106,7,6107	202,48,6709	201,48,6709	0,2,26718	
18	傳教AI LV9	1	9	0	60	95,7,6308	203,48,6709	97,46,6808	98,47,6808	96,7,6308	106,7,6108	202,48,6709	201,48,6709	0,2,26719	
19	傳教AI LV10	1	10	0	60	95,7,6310	203,48,6709	97,46,6809	98,47,6809	96,7,6310	106,7,6109	202,48,6709	201,48,6709	0,2,26720	
20	戰斧AI LV1	1	1	0	20	8,0,1260	0,2,300								
21	戰斧AI LV2	1	2	0	20	8,0,1260	103,2,301	0,2,200501							
22	戰斧AI LV3	1	3	0	20	8,0,1260	103,2,302	0,2,200502							
23	戰斧AI LV4	1	4	0	20	8,0,1260	103,2,303	0,2,200503							
24	戰斧AI LV5	1	5	0	20	8,0,1260	103,2,304	0,2,200504							
25	戰斧AI LV6	1	6	0	20	8,0,1260	103,2,305	0,2,200505							
26	戰斧AI LV7	1	7	0	20	8,0,1260	103,2,306	0,2,200506							
27	戰斧AI LV8	1	8	0	20	8,0,1260	103,2,307	0,2,200507							
28	戰斧AI LV9	1	9	0	20	8,0,1260	103,2,308	0,2,200508							
29	戰斧AI LV10	1	10	0	20	8,0,1260	103,2,309	0,2,200509							
30	劍士AI LV1	1	1	0	10	8,0,1260	0,2,300								
31	劍士AI LV2	1	2	0	10	8,0,1260	103,2,301	0,2,200501							
32	劍士AI LV3	1	3	0	10	8,0,1260	103,2,302	0,2,200502							
33	劍士AI LV4	1	4	0	10	8,0,1260	103,2,303	0,2,200503							
34	劍士AI LV5	1	5	0	10	8,0,1260	103,2,304	0,2,200504							
35	劍士AI LV6	1	6	0	10	8,0,1260	103,2,305	0,2,200505							
36	劍士AI LV7	1	7	0	10	8,0,1260	103,2,306	0,2,200506							
37	劍士AI LV8	1	8	0	10	8,0,1260	103,2,307	0,2,200507							
38	劍士AI LV9	1	9	0	10	8,0,1260	103,2,308	0,2,200508							
39	劍士AI LV10	1	10	0	10	8,0,1260	103,2,309	0,2,200509							
40	騎士AI LV1	1	1	0	30	8,0,1260	107,7,26100	105,7,700	0,2,300						
41	騎士AI LV2	1	2	0	30	8,0,1260	107,7,26101	105,7,701	103,2,301	0,2,200501					
42	騎士AI LV3	1	3	0	30	8,0,1260	107,7,26102	105,7,702	103,2,302	0,2,200502					
43	騎士AI LV4	1	4	0	30	8,0,1260	107,7,26103	105,7,703	103,2,303	0,2,200503					
44	騎士AI LV5	1	5	0	30	8,0,1260	107,7,26104	105,7,704	103,2,304	0,2,200504					
45	騎士AI LV6	1	6	0	30	8,0,1260	107,7,26105	105,7,705	103,2,305	0,2,200505					
46	騎士AI LV7	1	7	0	30	8,0,1260	107,7,26106	105,7,706	103,2,306	0,2,200506					
47	騎士AI LV8	1	8	0	30	8,0,1260	107,7,26107	105,7,707	103,2,307	0,2,200507					
48	騎士AI LV9	1	9	0	30	8,0,1260	107,7,26108	105,7,708	103,2,308	0,2,200508					
49	騎士AI LV10	1	10	0	30	8,0,1260	107,7,26109	105,7,709	103,2,309	0,2,200509					
50	弓手AI LV1	1	1	0	40	8,0,1260	103,2,300	0,2,9500							
51	弓手AI LV2	1	2	0	40	8,0,1260	103,2,301	0,2,9501							
52	弓手AI LV3	1	3	0	40	8,0,1260	103,2,302	0,2,9502							
53	弓手AI LV4	1	4	0	40	8,0,1260	103,2,303	0,2,9503							
54	弓手AI LV5	1	5	0	40	8,0,1260	103,2,304	0,2,9504							
55	弓手AI LV6	1	6	0	40	8,0,1260	103,2,305	0,2,9505							
56	弓手AI LV7	1	7	0	40	8,0,1260	103,2,306	0,2,9506							
57	弓手AI LV8	1	8	0	40	8,0,1260	103,2,307	0,2,9507							
58	弓手AI LV9	1	9	0	40	8,0,1260	103,2,308	0,2,9508							
59	弓手AI LV10	1	10	0	40	8,0,1260	103,2,309	0,2,9509							
60	地屬性魔法LV1	1	1	0	70	8,4,3100	103,2,1900	0,2,2700							
61	地屬性魔法LV2	1	2	0	70	8,4,3101	103,2,1901	0,2,2701							
62	地屬性魔法LV3	1	3	0	70	8,4,3102	103,2,1902	0,2,2702							
63	地屬性魔法LV4	1	4	0	70	8,4,3103	103,2,1903	0,2,2703							
64	地屬性魔法LV5	1	5	0	70	8,4,3104	103,2,1904	0,2,2704							
65	地屬性魔法LV6	1	6	0	70	8,4,3105	103,2,1905	0,2,2705							
66	地屬性魔法LV7	1	7	0	70	8,4,3106	103,2,1906	0,2,2706							
67	地屬性魔法LV8	1	8	0	70	8,4,3107	103,2,1907	0,2,2707							
68	地屬性魔法LV9	1	9	0	70	8,4,3108	103,2,1908	0,2,2708							
69	地屬性魔法LV10	1	10	0	70	8,4,3109	103,2,1909	0,2,2709							
70	水屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2000	0,2,2800							
71	水屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2001	0,2,2801							
72	水屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2002	0,2,2802							
73	水屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2003	0,2,2803							
74	水屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2004	0,2,2804							
75	水屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2005	0,2,2805							
76	水屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2006	0,2,2806							
77	水屬性魔法LV8	1	8	0	70	8,4,3107	103,2,2007	0,2,2807							
78	水屬性魔法LV9	1	9	0	70	8,4,3108	103,2,2008	0,2,2808							
79	水屬性魔法LV10	1	10	0	70	8,4,3109	103,2,2009	0,2,2809							
80	火屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2100	0,2,2900							
81	火屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2101	0,2,2901							
82	火屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2102	0,2,2902							
83	火屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2103	0,2,2903							
84	火屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2104	0,2,2904							
85	火屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2105	0,2,2905							
86	火屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2106	0,2,2906							
87	火屬性魔法LV8	1	8	0	70	8,4,3107	103,2,2107	0,2,2907							
88	火屬性魔法LV9	1	9	0	70	8,4,3108	103,2,2108	0,2,2908							
89	火屬性魔法LV10	1	10	0	70	8,4,3109	103,2,2109	0,2,2909							
90	風屬性魔法LV1	1	1	0	70	8,4,3100	103,2,2200	0,2,3000							
91	風屬性魔法LV2	1	2	0	70	8,4,3101	103,2,2201	0,2,3001							
92	風屬性魔法LV3	1	3	0	70	8,4,3102	103,2,2202	0,2,3002							
93	風屬性魔法LV4	1	4	0	70	8,4,3103	103,2,2203	0,2,3003							
94	風屬性魔法LV5	1	5	0	70	8,4,3104	103,2,2204	0,2,3004							
95	風屬性魔法LV6	1	6	0	70	8,4,3105	103,2,2205	0,2,3005							
96	風屬性魔法LV7	1	7	0	70	8,4,3106	103,2,2206	0,2,3006							
97	風屬性魔法LV8	1	8	0	70	8,4,3107	103,2,2207	0,2,3007							
98	風屬性魔法LV9	1	9	0	70	8,4,3108	103,2,2208	0,2,3008							
99	風屬性魔法LV10	1	10	0	70	8,4,3109	103,2,2209	0,2,3009							
100	格鬥AI LV1	1	1	0	140	8,0,1260	104,2,400	0,2,400							
101	格鬥AI LV2	1	2	0	140	8,0,1260	104,2,401	0,2,401							
102	格鬥AI LV3	1	3	0	140	8,0,1260	104,2,402	0,2,402							
103	格鬥AI LV4	1	4	0	140	8,0,1260	104,2,402	0,2,403							
104	格鬥AI LV5	1	5	0	140	8,0,1260	104,2,402	0,2,404							
105	格鬥AI LV6	1	6	0	140	8,0,1260	104,2,402	0,2,405							
106	格鬥AI LV7	1	7	0	140	8,0,1260	104,2,402	0,2,406							
107	格鬥AI LV8	1	8	0	140	8,0,1260	104,2,402	0,2,407							
108	格鬥AI LV9	1	9	0	140	8,0,1260	104,2,402	0,2,408							
109	格鬥AI LV10	1	10	0	140	8,0,1260	104,2,402	0,2,409							
110	合擊血少-通用	1	1	0	-1	8,0,1260	0,6,-100								
111	合擊血多-通用	1	1	0	-1	8,0,1260	0,4,-100								
112	夥伴防禦-通用	1	1	0	-1	8,0,1260	0,0,-200								
#113	寵物合擊血少	1	1	1	-1	8,0,1260	0,6,-100								
#114	寵物合擊血多	1	1	1	-1	8,0,1260	0,4,-100								
#115	寵物防御	1	1	1	-1	8,0,1260	0,0,-200								
#116	寵物乾坤LV1	1	1	1	-1	8,0,1260	0,2,301								
#117	寵物乾坤LV2	1	3	1	-1	8,0,1260	0,2,303								
#118	寵物乾坤LV3	1	5	1	-1	8,0,1260	0,2,305								
#119	寵物乾坤LV4	1	7	1	-1	8,0,1260	0,2,307								
#120	寵物乾坤LV5	1	9	1	-1	8,0,1260	0,2,309								
#121	寵物連擊LV1	1	1	1	-1	8,0,1260	0,2,1								
#122	寵物連擊LV2	1	3	1	-1	8,0,1260	0,2,3								
#123	寵物連擊LV3	1	5	1	-1	8,0,1260	0,2,5								
#124	寵物連擊LV4	1	7	1	-1	8,0,1260	0,2,7								
#125	寵物連擊LV5	1	9	1	-1	8,0,1260	0,2,9								
#126	寵物崩擊	1	1	1	-1	8,0,1260	0,2,503								
#127	寵物護衛	1	1	1	-1	8,0,1260	0,7,704								
#128	地屬性魔法LV1	1	1	1	-1	8,4,3100	103,2,1900	0,2,2700							
#129	地屬性魔法LV2	1	2	1	-1	8,4,3101	103,2,1901	0,2,2701							
#130	地屬性魔法LV3	1	3	1	-1	8,4,3102	103,2,1902	0,2,2702							
#131	地屬性魔法LV4	1	4	1	-1	8,4,3103	103,2,1903	0,2,2703							
#132	地屬性魔法LV5	1	5	1	-1	8,4,3104	103,2,1904	0,2,2704							
#133	地屬性魔法LV6	1	6	1	-1	8,4,3105	103,2,1905	0,2,2705							
#134	地屬性魔法LV7	1	7	1	-1	8,4,3106	103,2,1906	0,2,2706							
